trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1127 630.00  0.00 800.00 21.50  0
  1  714 400.00  0.00 800.00 26.00  0
  2  765 430.00  0.00 800.00 12.90  1
  3  766 430.00  0.00 800.00 17.20  0
  4  658 370.00  0.00 800.00 17.20  0
  5  676 380.00  0.00 800.00 17.20  1
  6 1419 790.00  0.00 800.00 156.00  0
  7  747 420.00  0.00 800.00 12.90  0
  8 1419 780.00  0.00 800.00 260.00  0
  9  839 470.00  0.00 800.00 21.50  0
 10  676 380.00  0.00 800.00 17.20  0
 11  656 370.00  0.00 800.00 10.80  1
 12  801 450.00  0.00 800.00 12.90  1
 13  857 480.00  0.00 800.00 21.50  0
 14  658 370.00  0.00 800.00 17.20  1
 15  640 360.00  0.00 800.00 17.20  1
 16  604 340.00  0.00 800.00 17.20  1
 17  604 350.00  0.00 800.00 21.50  0
 18  622 350.00  0.00 800.00 17.20  1
 19  622 330.00  0.00 800.00 12.90  1
 20  622 350.00  0.00 800.00 12.90  1
 21  622 350.00  0.00 800.00 21.50  0
 22  622 350.00  0.00 800.00 12.90  0
 23  910 510.00  0.00 800.00 17.20  0
 24  874 490.00  0.00 800.00 17.20  0
 25  694 390.00  0.00 800.00 17.20  0
 26  712 400.00  0.00 800.00 17.20  0
 27  730 410.00  0.00 800.00 17.20  0
 28  748 420.00  0.00 800.00 17.20  0
 29  748 410.00  0.00 800.00 12.90  0
 30  602 340.00  0.00 800.00 10.80  0
 31  548 310.00  0.00 800.00 10.80  0
 32 1421 790.00  0.00 800.00 520.00  0
 33  404 230.00  0.00 800.00 10.80  1
 34  422 240.00  0.00 800.00 10.80  1
 35  494 280.00  0.00 800.00 10.80  0
 36 1089 610.00  0.00 800.00 12.90  0
 37  332 190.00  0.00 800.00 10.80  1
 38  297 170.00  0.00 800.00 12.90  0
 39 1421 790.00  0.00 800.00 520.00  0
 40 1421 770.00  0.00 800.00 260.00  0
 41 1035 580.00  0.00 800.00 12.90  0
