Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.1345  1.8604    -9.1659 -3.3721
      1  -4.6553  1.0531    -6.3482 -3.2171
      2  -5.4923  0.6342    -6.4288 -4.8142
      3  -5.0623  0.4577    -5.6486 -4.6797
      4  -4.7861  0.4580    -5.3055 -4.4303
      5  -4.5302  0.8157    -5.5610 -3.4495
      6  -4.2389  1.1555    -7.0159 -2.8680
      7  -4.3468  0.9614    -6.2409 -3.2878
      8  -4.3987  0.7876    -5.5151 -3.6893
      9  -4.4232  0.6425    -5.2750 -3.9192
     10  -4.2920  0.6403    -5.0338 -3.7847
     11  -4.2207  0.5315    -4.7826 -3.7810
     12  -4.0974  0.7075    -4.8205 -3.5055
     13  -4.1002  0.5675    -4.7407 -3.6971
     14  -4.1156  0.4651    -4.7186 -3.7691
     15  -4.2525  0.5431    -4.8879 -3.9068
     16  -4.2097  0.4338    -4.7616 -3.9190
     17  -4.1750  0.3586    -4.7127 -3.9160
     18  -4.0822  0.4611    -4.6452 -3.7337
     19  -4.0875  0.3760    -4.6233 -3.7863
     20  -4.1010  0.3167    -4.6202 -3.8595
     21  -4.1985  0.3693    -4.7390 -3.9691
     22  -4.1737  0.3068    -4.6967 -3.9688
     23  -4.1526  0.2643    -4.6464 -3.9672
     24  -4.1759  0.2337    -4.6611 -3.9850
     25  -4.2040  0.2112    -4.6821 -4.0060
     26  -4.1879  0.1899    -4.6325 -4.0022
     27  -4.2085  0.1726    -4.6511 -4.0225
     28  -4.2105  0.1622    -4.6496 -4.0271
     29  -4.1519  0.1846    -4.5398 -3.9899
     30  -4.1017  0.1881    -4.5019 -3.9763
     31  -4.1581  0.1922    -4.5374 -3.9919
     32  -4.1763  0.1767    -4.5612 -4.0035
     33  -4.1616  0.1652    -4.5091 -3.9990
     34  -4.1066  0.1853    -4.5001 -3.9793
     35  -4.0760  0.1764    -4.4899 -3.9743
     36  -4.0556  0.1642    -4.4809 -3.9720
     37  -4.0351  0.1524    -4.4700 -3.9699
     38  -4.0152  0.1399    -4.4547 -3.9680
     39  -3.9840  0.1410    -4.4191 -3.9222
     40  -3.9890  0.1306    -4.4222 -3.9622
     41  -3.9811  0.1201    -4.4007 -3.9618

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0587     0.0068  0.1898
      1   0.1016  0.0586     0.0070  0.1898
      2   0.1015  0.0588     0.0065  0.1898
      3   0.1021  0.0587     0.0070  0.1899
      4   0.0961  0.0598     0.0042  0.1888
      5   0.0386  0.0365     0.0001  0.1113
      6   0.0146  0.0128     0.0000  0.0362
      7   0.0174  0.0139     0.0000  0.0407
      8   0.0200  0.0145     0.0001  0.0445
      9   0.0223  0.0149     0.0001  0.0471
     10   0.0222  0.0145     0.0001  0.0461
     11   0.0242  0.0148     0.0012  0.0482
     12   0.0178  0.0110     0.0001  0.0344
     13   0.0194  0.0109     0.0007  0.0362
     14   0.0209  0.0110     0.0016  0.0380
     15   0.0181  0.0097     0.0007  0.0326
     16   0.0191  0.0096     0.0016  0.0333
     17   0.0202  0.0095     0.0024  0.0341
     18   0.0169  0.0081     0.0011  0.0276
     19   0.0177  0.0080     0.0018  0.0287
     20   0.0186  0.0080     0.0025  0.0299
     21   0.0166  0.0072     0.0016  0.0264
     22   0.0173  0.0071     0.0022  0.0268
     23   0.0180  0.0071     0.0029  0.0272
     24   0.0187  0.0072     0.0038  0.0278
     25   0.0194  0.0073     0.0046  0.0293
     26   0.0201  0.0073     0.0061  0.0303
     27   0.0207  0.0074     0.0071  0.0313
     28   0.0210  0.0073     0.0073  0.0315
     29   0.0190  0.0066     0.0058  0.0273
     30   0.0187  0.0066     0.0053  0.0271
     31   0.0179  0.0062     0.0043  0.0261
     32   0.0184  0.0062     0.0052  0.0265
     33   0.0189  0.0062     0.0068  0.0269
     34   0.0175  0.0059     0.0044  0.0254
     35   0.0179  0.0060     0.0050  0.0259
     36   0.0185  0.0061     0.0062  0.0264
     37   0.0190  0.0061     0.0071  0.0268
     38   0.0195  0.0062     0.0072  0.0272
     39   0.0182  0.0059     0.0058  0.0261
     40   0.0186  0.0059     0.0070  0.0263
     41   0.0191  0.0059     0.0072  0.0266

