Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.0273  1.6849    -7.7777 -2.5859
      1  -3.6049  0.9284    -5.0025 -2.4420
      2  -4.2758  0.6193    -5.0602 -3.7045
      3  -4.5557  0.5009    -5.1937 -4.2387
      4  -4.3860  0.3848    -4.8313 -4.1429
      5  -4.2451  0.3542    -4.6838 -4.0335
      6  -4.2467  0.2680    -4.6706 -4.0839
      7  -4.2655  0.2044    -4.6728 -4.2434
      8  -4.2578  0.1572    -4.6475 -4.2436
      9  -4.2578  0.1306    -4.6449 -4.2449
     10  -4.2587  0.1133    -4.6433 -4.2465
     11  -4.2553  0.0987    -4.6247 -4.2465
     12  -4.2555  0.0930    -4.6241 -4.2469
     13  -4.2527  0.0856    -4.6028 -4.2468
     14  -4.2521  0.0830    -4.5978 -4.2468
     15  -4.2503  0.0793    -4.5787 -4.2468
     16  -4.2508  0.0779    -4.5789 -4.2473
     17  -4.2510  0.0773    -4.5790 -4.2475
     18  -4.2503  0.0760    -4.5714 -4.2475
     19  -4.2500  0.0753    -4.5668 -4.2475
     20  -4.2503  0.0747    -4.5671 -4.2478
     21  -4.2498  0.0738    -4.5604 -4.2478
     22  -4.2500  0.0734    -4.5606 -4.2480
     23  -4.2502  0.0731    -4.5608 -4.2481
     24  -4.2504  0.0726    -4.5611 -4.2484
     25  -4.2506  0.0724    -4.5612 -4.2485
     26  -4.2507  0.0722    -4.5614 -4.2486
     27  -4.2504  0.0717    -4.5574 -4.2486
     28  -4.2506  0.0713    -4.5576 -4.2488
     29  -4.2495  0.0694    -4.5410 -4.2487
     30  -4.2497  0.0690    -4.5414 -4.2489
     31  -4.2498  0.0687    -4.5416 -4.2490
     32  -4.2496  0.0684    -4.5381 -4.2490
     33  -4.2491  0.0674    -4.5289 -4.2490
     34  -4.2492  0.0672    -4.5290 -4.2491
     35  -4.2493  0.0669    -4.5294 -4.2492
     36  -4.2494  0.0668    -4.5295 -4.2493
     37  -4.2495  0.0666    -4.5297 -4.2494
     38  -4.2495  0.0666    -4.5298 -4.2494
     39  -4.2496  0.0665    -4.5299 -4.2495
     40  -4.2495  0.0663    -4.5280 -4.2494
     41  -4.2495  0.0662    -4.5281 -4.2495

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0590     0.0060  0.1897
      1   0.1016  0.0590     0.0060  0.1898
      2   0.1017  0.0592     0.0055  0.1899
      3   0.1029  0.0587     0.0067  0.1901
      4   0.1063  0.0571     0.0107  0.1904
      5   0.1050  0.0570     0.0109  0.1901
      6   0.1079  0.0554     0.0165  0.1904
      7   0.1150  0.0533     0.0229  0.1914
      8   0.1167  0.0521     0.0268  0.1916
      9   0.1176  0.0515     0.0289  0.1917
     10   0.1186  0.0509     0.0310  0.1918
     11   0.1198  0.0501     0.0335  0.1919
     12   0.1201  0.0499     0.0343  0.1919
     13   0.1213  0.0493     0.0363  0.1920
     14   0.1216  0.0490     0.0370  0.1920
     15   0.1225  0.0486     0.0386  0.1921
     16   0.1228  0.0483     0.0393  0.1922
     17   0.1230  0.0482     0.0397  0.1922
     18   0.1233  0.0480     0.0405  0.1922
     19   0.1236  0.0478     0.0411  0.1922
     20   0.1238  0.0477     0.0417  0.1923
     21   0.1241  0.0475     0.0422  0.1923
     22   0.1242  0.0474     0.0425  0.1923
     23   0.1244  0.0473     0.0428  0.1923
     24   0.1245  0.0472     0.0432  0.1923
     25   0.1247  0.0471     0.0435  0.1923
     26   0.1248  0.0470     0.0437  0.1923
     27   0.1249  0.0469     0.0441  0.1924
     28   0.1251  0.0468     0.0444  0.1924
     29   0.1256  0.0466     0.0452  0.1924
     30   0.1258  0.0465     0.0456  0.1924
     31   0.1259  0.0464     0.0459  0.1924
     32   0.1260  0.0463     0.0461  0.1925
     33   0.1263  0.0461     0.0467  0.1925
     34   0.1264  0.0461     0.0469  0.1925
     35   0.1265  0.0460     0.0472  0.1925
     36   0.1266  0.0460     0.0474  0.1925
     37   0.1267  0.0459     0.0476  0.1925
     38   0.1267  0.0459     0.0477  0.1925
     39   0.1268  0.0458     0.0479  0.1925
     40   0.1268  0.0458     0.0480  0.1925
     41   0.1269  0.0457     0.0481  0.1925

