Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.1315  1.4485    -7.2393 -2.3525
      1  -3.5836  1.6026    -7.9628 -2.6492
      2  -3.1442  1.1423    -6.1178 -2.6284
      3  -3.4261  1.7102    -8.0464 -2.4251
      4  -3.0948  1.3590    -6.9682 -2.4148
      5  -3.3831  1.5170    -7.6653 -2.5309
      6  -3.1240  1.1842    -6.2370 -2.5226
      7  -3.1040  1.0362    -5.3319 -2.6270
      8  -2.9664  0.7909    -3.5643 -2.6276
      9  -2.9441  0.6368    -3.3526 -2.7370
     10  -2.8907  0.4687    -3.1302 -2.7449
     11  -2.9624  0.9735    -4.5330 -2.5571
     12  -2.9732  0.8723    -3.7887 -2.6068
     13  -2.9493  0.7245    -3.3956 -2.6515
     14  -3.0862  1.1983    -6.3040 -2.5792
     15  -2.9264  0.9031    -3.8892 -2.5783
     16  -2.8331  0.6827    -3.3245 -2.5799
     17  -2.7789  0.5202    -3.1311 -2.5812
     18  -2.8314  0.4981    -3.2050 -2.6023
     19  -2.8349  0.4033    -3.1703 -2.6245
     20  -2.8507  0.3371    -3.1688 -2.6631
     21  -2.8545  0.2690    -3.1464 -2.7057
     22  -2.8518  0.5672    -3.3221 -2.6062
     23  -3.1961  1.1394    -6.1114 -2.6125
     24  -3.0531  0.8645    -3.9211 -2.6121
     25  -2.9737  0.6526    -3.6314 -2.6119
     26  -2.9171  0.5176    -3.4976 -2.6091
     27  -2.8782  0.4148    -3.3924 -2.6069
     28  -2.8466  0.3456    -3.3529 -2.6032
     29  -2.8517  0.2886    -3.3497 -2.6222
     30  -2.8359  0.2426    -3.3174 -2.6214
     31  -2.8243  0.2098    -3.2823 -2.6209
     32  -2.8342  0.1862    -3.2842 -2.6395
     33  -2.8257  0.1683    -3.2447 -2.6385
     34  -2.8363  0.1532    -3.2495 -2.6597
     35  -2.8445  0.1415    -3.2533 -2.6819
     36  -2.8362  0.1317    -3.1974 -2.6770
     37  -2.8448  0.1221    -3.2055 -2.7061
     38  -2.8392  0.1155    -3.1440 -2.7015
     39  -2.8494  0.1058    -3.1665 -2.7533
     40  -2.8512  0.1023    -3.1651 -2.7698
     41  -2.8870  0.1276    -3.3253 -2.8572

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0868  0.0646     0.0000  0.1880
      1   0.0742  0.0650     0.0000  0.1852
      2   0.0943  0.0633     0.0000  0.1892
      3   0.0413  0.0428     0.0000  0.1259
      4   0.0472  0.0427     0.0000  0.1305
      5   0.0382  0.0380     0.0000  0.1108
      6   0.0423  0.0378     0.0000  0.1142
      7   0.0501  0.0405     0.0001  0.1252
      8   0.0565  0.0400     0.0002  0.1298
      9   0.0637  0.0403     0.0030  0.1363
     10   0.0679  0.0392     0.0082  0.1387
     11   0.0312  0.0218     0.0001  0.0679
     12   0.0342  0.0224     0.0001  0.0715
     13   0.0380  0.0226     0.0010  0.0750
     14   0.0225  0.0166     0.0000  0.0493
     15   0.0239  0.0161     0.0001  0.0501
     16   0.0256  0.0157     0.0009  0.0512
     17   0.0272  0.0155     0.0022  0.0524
     18   0.0276  0.0150     0.0024  0.0515
     19   0.0296  0.0149     0.0038  0.0532
     20   0.0314  0.0150     0.0054  0.0546
     21   0.0331  0.0149     0.0073  0.0559
     22   0.0217  0.0115     0.0014  0.0391
     23   0.0115  0.0075     0.0000  0.0221
     24   0.0122  0.0072     0.0001  0.0225
     25   0.0126  0.0070     0.0004  0.0227
     26   0.0134  0.0070     0.0007  0.0237
     27   0.0142  0.0070     0.0009  0.0245
     28   0.0150  0.0072     0.0012  0.0254
     29   0.0158  0.0072     0.0014  0.0260
     30   0.0164  0.0072     0.0017  0.0264
     31   0.0171  0.0071     0.0021  0.0268
     32   0.0178  0.0071     0.0026  0.0271
     33   0.0183  0.0071     0.0032  0.0274
     34   0.0190  0.0071     0.0041  0.0278
     35   0.0196  0.0070     0.0053  0.0288
     36   0.0202  0.0070     0.0068  0.0296
     37   0.0208  0.0070     0.0072  0.0304
     38   0.0213  0.0070     0.0075  0.0310
     39   0.0219  0.0070     0.0078  0.0317
     40   0.0221  0.0070     0.0079  0.0319
     41   0.0187  0.0060     0.0070  0.0264

