trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 520
6.0, 200, 0.0, 800, 520
7.0, 100, 0.0, 800, 520
8.0, 50, 0.0, 800, 520
9.0, 75, 0.0, 800, 520
10.0, 87, 0.0, 800, 520
11.0, 400, 0.0, 800, 26
12.0, 200, 0.0, 800, 26
13.0, 300, 0.0, 800, 26
14.0, 350, 0.0, 800, 26
15.0, 375, 0.0, 800, 26
16.0, 387, 0.0, 800, 26
17.0, 400, 0.0, 800, 2
18.0, 600, 0.0, 800, 2
19.0, 700, 0.0, 800, 2
20.0, 750, 0.0, 800, 2
21.0, 775, 0.0, 800, 2
22.0, 762, 0.0, 800, 2
23.0, 400, 0.0, 800, 52
24.0, 200, 0.0, 800, 52
25.0, 300, 0.0, 800, 52
26.0, 350, 0.0, 800, 52
27.0, 375, 0.0, 800, 52
28.0, 387, 0.0, 800, 52
29.0, 400, 0.0, 800, 156
30.0, 200, 0.0, 800, 156
31.0, 100, 0.0, 800, 156
32.0, 150, 0.0, 800, 156
33.0, 175, 0.0, 800, 156
34.0, 187, 0.0, 800, 156
35.0, 800, 4.0, 400, 0
36.0, 800, 4.0, 600, 0
37.0, 800, 4.0, 700, 0
38.0, 800, 4.0, 750, 0
39.0, 800, 4.0, 725, 0
40.0, 800, 4.0, 712, 0
41.0, 800, 1.0, 400, 0
42.0, 800, 1.0, 600, 0
43.0, 800, 1.0, 700, 0
44.0, 800, 1.0, 750, 0
45.0, 800, 1.0, 725, 0
46.0, 800, 1.0, 712, 0
