Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.1633  1.8443    -9.1689 -3.4244
      1  -4.6833  1.0365    -6.3498 -3.2612
      2  -3.8643  0.6537    -4.7707 -3.1703
      3  -3.4447  0.5222    -4.0156 -3.0917
      4  -3.5875  0.4329    -4.0981 -3.3951
      5  -3.4435  0.4042    -3.8767 -3.2566
      6  -3.4231  0.3023    -3.8429 -3.2614
      7  -3.4128  0.2344    -3.8220 -3.2655
      8  -3.3822  0.1940    -3.6736 -3.2358
      9  -3.4072  0.1343    -3.6744 -3.4148
     10  -3.3036  0.6453    -3.8349 -2.8766
     11  -3.2579  0.4988    -3.6808 -2.8875
     12  -3.3177  0.4356    -3.6978 -3.0986
     13  -3.3336  0.3490    -3.6841 -3.1513
     14  -3.3493  0.2838    -3.6841 -3.1686
     15  -3.3368  0.2281    -3.6778 -3.1686
     16  -3.4820  0.5409    -3.9500 -3.1782
     17  -3.4705  0.4245    -3.9385 -3.2139
     18  -3.4322  0.3505    -3.9011 -3.2043
     19  -3.4414  0.2858    -3.9013 -3.2538
     20  -3.4117  0.2454    -3.8454 -3.2328
     21  -3.4165  0.2004    -3.8448 -3.2677
     22  -3.3993  0.1704    -3.7644 -3.2524
     23  -3.4115  0.1439    -3.7799 -3.3292
     24  -3.4004  0.1237    -3.6829 -3.3106
     25  -3.4078  0.1055    -3.6835 -3.4030
     26  -3.4020  0.0921    -3.6785 -3.3904
     27  -3.4082  0.0791    -3.6791 -3.4129
     28  -3.4054  0.0711    -3.6766 -3.4127
     29  -3.4034  0.0655    -3.6747 -3.4126
     30  -3.4064  0.0582    -3.6750 -3.4155
     31  -3.4047  0.0539    -3.6734 -3.4153
     32  -3.4056  0.0509    -3.6734 -3.4163
     33  -3.4071  0.0467    -3.6735 -3.4177
     34  -3.4063  0.0444    -3.6728 -3.4176
     35  -3.4053  0.0419    -3.6720 -3.4175
     36  -3.4075  0.0351    -3.6722 -3.4195
     37  -3.4080  0.0332    -3.6722 -3.4199
     38  -3.4074  0.0306    -3.6716 -3.4199
     39  -3.4083  0.0271    -3.6717 -3.4207
     40  -3.4151  0.0477    -3.6780 -3.4215
     41  -3.4150  0.0473    -3.6779 -3.4215

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0586     0.0072  0.1899
      1   0.1023  0.0585     0.0074  0.1899
      2   0.1027  0.0584     0.0078  0.1900
      3   0.1033  0.0584     0.0081  0.1901
      4   0.1062  0.0573     0.0106  0.1905
      5   0.1067  0.0566     0.0115  0.1903
      6   0.1086  0.0554     0.0157  0.1905
      7   0.1099  0.0546     0.0185  0.1906
      8   0.1181  0.0537     0.0222  0.1923
      9   0.1268  0.0501     0.0327  0.1933
     10   0.0324  0.0225     0.0010  0.0720
     11   0.0343  0.0223     0.0026  0.0735
     12   0.0373  0.0226     0.0041  0.0764
     13   0.0402  0.0227     0.0071  0.0796
     14   0.0426  0.0228     0.0088  0.0820
     15   0.0440  0.0226     0.0104  0.0828
     16   0.0223  0.0117     0.0015  0.0403
     17   0.0235  0.0115     0.0030  0.0410
     18   0.0250  0.0117     0.0043  0.0428
     19   0.0263  0.0117     0.0065  0.0443
     20   0.0276  0.0119     0.0074  0.0462
     21   0.0286  0.0118     0.0081  0.0469
     22   0.0299  0.0120     0.0088  0.0481
     23   0.0311  0.0121     0.0097  0.0496
     24   0.0323  0.0122     0.0107  0.0513
     25   0.0334  0.0122     0.0120  0.0523
     26   0.0344  0.0122     0.0136  0.0532
     27   0.0354  0.0122     0.0144  0.0541
     28   0.0361  0.0121     0.0149  0.0546
     29   0.0367  0.0121     0.0154  0.0549
     30   0.0374  0.0120     0.0160  0.0555
     31   0.0380  0.0120     0.0166  0.0563
     32   0.0383  0.0119     0.0170  0.0566
     33   0.0388  0.0119     0.0176  0.0571
     34   0.0392  0.0118     0.0182  0.0575
     35   0.0397  0.0118     0.0190  0.0580
     36   0.0406  0.0119     0.0202  0.0590
     37   0.0409  0.0118     0.0208  0.0593
     38   0.0414  0.0118     0.0212  0.0597
     39   0.0420  0.0119     0.0215  0.0603
     40   0.0357  0.0097     0.0173  0.0497
     41   0.0358  0.0096     0.0173  0.0497

