Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4724  1.3933    -6.6768 -2.5291
      1  -3.3618  0.8479    -4.4996 -2.4160
      2  -2.8203  0.6890    -3.5270 -2.3592
      3  -3.0763  0.6187    -3.6579 -2.7461
      4  -2.9212  0.5971    -3.3614 -2.6444
      5  -2.9061  1.0399    -4.9614 -2.4132
      6  -2.7800  0.9492    -3.9635 -2.3848
      7  -2.6774  0.7752    -3.0972 -2.3762
      8  -2.6586  0.6270    -3.0424 -2.4453
      9  -2.6377  0.4867    -3.0028 -2.5791
     10  -2.6035  0.3666    -2.8519 -2.5795
     11  -2.5858  0.2861    -2.8450 -2.5792
     12  -2.5856  0.2148    -2.8446 -2.5870
     13  -2.5809  0.2356    -2.8431 -2.5818
     14  -2.5776  0.1728    -2.8427 -2.5843
     15  -2.5827  0.1588    -2.8432 -2.5896
     16  -2.6497  0.7468    -3.0110 -2.3663
     17  -2.6225  0.5978    -2.8799 -2.3919
     18  -2.6111  0.4812    -2.8534 -2.4452
     19  -2.5921  0.3594    -2.8509 -2.4725
     20  -2.5896  0.2800    -2.8498 -2.5787
     21  -2.5837  0.2096    -2.8487 -2.5813
     22  -2.5726  0.2731    -2.8471 -2.4437
     23  -2.5498  0.3359    -2.8453 -2.3712
     24  -2.5641  0.2770    -2.8456 -2.4133
     25  -2.5321  0.4346    -2.8460 -2.3454
     26  -2.5579  0.3873    -2.8476 -2.3697
     27  -2.5696  0.3246    -2.8476 -2.4069
     28  -2.5721  0.2578    -2.8470 -2.4503
     29  -2.5731  0.2016    -2.8463 -2.5030
     30  -2.5561  0.2440    -2.8448 -2.4027
     31  -2.5649  0.1976    -2.8448 -2.4531
     32  -2.5377  0.3308    -2.8455 -2.3595
     33  -2.5597  0.2907    -2.8468 -2.3946
     34  -2.5672  0.2387    -2.8467 -2.4368
     35  -2.5710  0.1917    -2.8463 -2.4901
     36  -2.5649  0.1505    -2.8441 -2.4819
     37  -2.5684  0.1211    -2.8439 -2.5410
     38  -2.5722  0.0982    -2.8439 -2.5816
     39  -2.5727  0.0813    -2.8436 -2.5831
     40  -2.5600  0.1096    -2.8428 -2.4709
     41  -2.5672  0.0902    -2.8430 -2.5573

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0999  0.0596     0.0045  0.1896
      1   0.1008  0.0592     0.0050  0.1897
      2   0.1016  0.0590     0.0057  0.1899
      3   0.1005  0.0594     0.0049  0.1897
      4   0.1008  0.0589     0.0058  0.1896
      5   0.0474  0.0395     0.0001  0.1238
      6   0.0506  0.0406     0.0001  0.1299
      7   0.0571  0.0422     0.0012  0.1384
      8   0.0653  0.0430     0.0049  0.1461
      9   0.0715  0.0427     0.0092  0.1505
     10   0.0767  0.0422     0.0140  0.1543
     11   0.0823  0.0424     0.0175  0.1592
     12   0.0869  0.0414     0.0230  0.1619
     13   0.0821  0.0403     0.0203  0.1551
     14   0.0833  0.0397     0.0229  0.1556
     15   0.0868  0.0401     0.0257  0.1598
     16   0.0311  0.0184     0.0012  0.0615
     17   0.0340  0.0185     0.0037  0.0643
     18   0.0368  0.0186     0.0067  0.0671
     19   0.0380  0.0182     0.0084  0.0677
     20   0.0401  0.0181     0.0101  0.0693
     21   0.0409  0.0179     0.0116  0.0699
     22   0.0358  0.0157     0.0093  0.0608
     23   0.0318  0.0139     0.0081  0.0537
     24   0.0336  0.0142     0.0090  0.0554
     25   0.0267  0.0116     0.0061  0.0441
     26   0.0278  0.0117     0.0071  0.0455
     27   0.0291  0.0119     0.0077  0.0468
     28   0.0303  0.0118     0.0086  0.0477
     29   0.0314  0.0117     0.0097  0.0483
     30   0.0294  0.0110     0.0087  0.0458
     31   0.0304  0.0110     0.0096  0.0467
     32   0.0255  0.0099     0.0072  0.0397
     33   0.0260  0.0097     0.0076  0.0398
     34   0.0268  0.0097     0.0081  0.0404
     35   0.0277  0.0096     0.0088  0.0409
     36   0.0283  0.0094     0.0097  0.0412
     37   0.0290  0.0093     0.0105  0.0416
     38   0.0297  0.0093     0.0115  0.0425
     39   0.0301  0.0092     0.0125  0.0429
     40   0.0284  0.0088     0.0108  0.0406
     41   0.0290  0.0088     0.0117  0.0408

