trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1286 720.00  0.00 800.00 10.80  0
  1  571 320.00  0.00 800.00 52.00  1
  2  769 430.00  0.00 800.00 52.00  0
  3  661 370.00  0.00 800.00 52.00  1
  4  787 440.00  0.00 800.00 52.00  0
  5  661 390.00  0.00 800.00 26.00  0
  6 1421 790.00  0.00 800.00 520.00  0
  7 1421 780.00  0.00 800.00 260.00  0
  8 1421 790.00  0.00 800.00 260.00  0
  9 1421 780.00  0.00 800.00 260.00  0
 10  642 360.00  0.00 800.00 26.00  1
 11  624 350.00  0.00 800.00 26.00  1
 12  841 470.00  0.00 800.00 52.00  0
 13  750 420.00  0.00 800.00 26.00  0
 14  570 320.00  0.00 800.00 26.00  1
 15  751 420.00  0.00 800.00 52.00  0
 16  570 320.00  0.00 800.00 52.00  1
 17  588 330.00  0.00 800.00 26.00  1
 18  769 430.00  0.00 800.00 52.00  1
 19  913 510.00  0.00 800.00 52.00  0
 20  588 330.00  0.00 800.00 26.00  1
 21  877 490.00  0.00 800.00 52.00  1
 22 1021 570.00  0.00 800.00 52.00  0
 23  985 550.00  0.00 800.00 52.00  0
 24  967 540.00  0.00 800.00 52.00  0
 25  409 230.00  0.00 800.00 52.00  1
 26  931 520.00  0.00 800.00 52.00  0
 27  445 250.00  0.00 800.00 52.00  1
 28  463 260.00  0.00 800.00 52.00  1
 29  859 480.00  0.00 800.00 52.00  0
 30  499 280.00  0.00 800.00 52.00  1
 31  895 500.00  0.00 800.00 52.00  0
 32  823 460.00  0.00 800.00 52.00  0
 33  643 360.00  0.00 800.00 52.00  1
 34  571 320.00  0.00 800.00 52.00  1
 35  571 320.00  0.00 800.00 26.00  1
 36  571 300.00  0.00 800.00 26.00  1
 37  607 340.00  0.00 800.00 52.00  1
 38  589 330.00  0.00 800.00 52.00  1
 39  607 350.00  0.00 800.00 26.00  1
 40  877 490.00  0.00 800.00 52.00  0
 41  589 330.00  0.00 800.00 52.00  1
