trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  985 550.00  0.00 800.00 52.00  1
  1  935 520.00  0.00 800.00 520.00  0
  2  790 440.00  0.00 800.00 260.00  0
  3  771 430.00  0.00 800.00 156.00  1
  4  682 380.00  0.00 800.00 260.00  0
  5  771 420.00  0.00 800.00 104.00  1
  6  700 390.00  0.00 800.00 260.00  0
  7  771 420.00  0.00 800.00 260.00  1
  8    8  10.00  0.00 800.00 10.80  1
  9  663 370.00  0.00 800.00 156.00  1
 10  700 390.00  0.00 800.00 260.00  0
 11  718 400.00  0.00 800.00 260.00  0
 12  699 390.00  0.00 800.00 156.00  1
 13  718 420.00  0.00 800.00 156.00  1
 14  718 390.00  0.00 800.00 156.00  1
 15  718 420.00  0.00 800.00 156.00  1
 16  718 380.00  0.00 800.00 156.00  1
 17  718 420.00  0.00 800.00 156.00  1
 18  700 390.00  0.00 800.00 260.00  0
 19  718 390.00  0.00 800.00 520.00  0
 20  718 410.00  0.00 800.00 156.00  1
 21  718 400.00  0.00 800.00 520.00  1
 22  952 530.00  0.00 800.00 260.00  0
 23  862 480.00  0.00 800.00 260.00  1
 24  809 450.00  0.00 800.00 520.00  0
 25  988 550.00  0.00 800.00 260.00  0
 26  988 540.00  0.00 800.00 156.00  0
 27  952 530.00  0.00 800.00 260.00  0
 28  952 510.00  0.00 800.00 156.00  1
 29  952 530.00  0.00 800.00 156.00  1
 30  970 540.00  0.00 800.00 260.00  0
 31  970 530.00  0.00 800.00 156.00  0
 32  952 530.00  0.00 800.00 260.00  0
 33  538 300.00  0.00 800.00 260.00  1
 34  556 310.00  0.00 800.00 260.00  1
 35  934 520.00  0.00 800.00 260.00  0
 36  556 300.00  0.00 800.00 520.00  0
 37  574 320.00  0.00 800.00 260.00  1
 38  574 330.00  0.00 800.00 156.00  1
 39  574 330.00  0.00 800.00 520.00  0
 40  574 330.00  0.00 800.00 520.00  0
 41  574 340.00  0.00 800.00 156.00  1
